item_id,vertical,flag_type,flag_confidence,audio_signal,visual_signal,text_signal,channel_violation_rate,account_type,reviewer_decision
item_0000,gaming,violence,0.568,0.102,0.741,0.545,0.361,new,escalate
item_0001,cooking,safe,0.614,0.602,0.561,0.716,0.023,verified,allow
item_0002,cooking,safe,0.897,0.006,0.806,0.698,0.647,anonymous,allow
item_0003,music,spam,0.665,0.093,0.097,0.847,0.339,established,remove
item_0004,cooking,misleading,0.977,0.379,0.552,0.829,0.634,anonymous,escalate
item_0005,cooking,misleading,0.522,0.228,0.289,0.08,0.276,established,allow
item_0006,childrens,spam,0.909,0.163,0.355,0.67,0.413,new,allow
item_0007,gaming,violence,0.686,0.99,0.64,0.557,0.141,established,escalate
item_0008,music,copyright,0.697,0.066,0.913,0.567,0.201,verified,remove
item_0009,music,copyright,0.948,0.459,0.265,0.247,0.599,anonymous,remove
item_0010,cooking,misleading,0.696,0.219,0.998,0.51,0.724,anonymous,allow
item_0011,gaming,violence,0.888,0.422,0.064,0.382,0.257,established,remove
item_0012,news,spam,0.556,0.885,0.751,0.769,0.17,verified,remove
item_0013,music,copyright,0.502,0.722,0.72,0.972,0.54,anonymous,escalate
item_0014,childrens,spam,0.749,0.199,0.374,0.162,0.51,new,remove
item_0015,cooking,safe,0.555,0.363,0.985,0.807,0.422,new,allow
item_0016,childrens,spam,0.738,0.069,0.761,0.766,0.021,verified,remove
item_0017,childrens,safe,0.927,0.423,0.212,0.539,0.166,established,allow
item_0018,childrens,misleading,0.754,0.121,0.225,0.338,0.41,new,escalate
item_0019,cooking,spam,0.847,0.059,0.067,0.031,0.102,established,remove
item_0020,music,copyright,0.738,0.539,0.723,0.882,0.17,established,remove
item_0021,cooking,safe,0.593,0.097,0.431,0.424,0.702,anonymous,allow
item_0022,news,misleading,0.857,0.801,0.109,0.192,0.015,verified,allow
item_0023,cooking,safe,0.727,0.874,0.075,0.808,0.546,anonymous,allow
item_0024,cooking,safe,0.954,0.849,0.166,0.486,0.242,verified,allow
item_0025,childrens,safe,0.983,0.265,0.784,0.455,0.195,established,allow
item_0026,news,safe,0.975,0.579,0.542,0.748,0.174,established,allow
item_0027,gaming,violence,0.918,0.157,0.961,0.08,0.626,anonymous,escalate
item_0028,childrens,spam,0.615,0.12,0.89,0.246,0.169,verified,remove
item_0029,cooking,safe,0.786,0.523,0.935,0.204,0.105,verified,allow
item_0030,music,copyright,0.816,0.457,0.929,0.936,0.533,anonymous,escalate
item_0031,gaming,misleading,0.604,0.265,0.933,0.881,0.018,verified,allow
item_0032,childrens,misleading,0.766,0.303,0.984,0.807,0.21,established,escalate
item_0033,cooking,safe,0.551,0.878,0.264,0.89,0.533,new,allow
item_0034,cooking,spam,0.852,0.204,0.634,0.264,0.451,new,allow
item_0035,news,spam,0.906,0.044,0.334,0.131,0.159,verified,remove
item_0036,music,copyright,0.71,0.01,0.075,0.883,0.638,anonymous,remove
item_0037,childrens,spam,0.52,0.365,0.933,0.972,0.207,established,allow
item_0038,gaming,spam,0.673,0.56,0.875,0.974,0.267,established,remove
